Fecha,WDC,INTC,AMD
2023-01-02,57.83,35.88,94.75
2023-01-03,58.73,35.8,90.83
2023-01-04,59.17,35.62,90.32
2023-01-05,59.34,35.77,93.31
2023-01-06,60.21,35.84,91.43
2023-01-09,58.87,35.99,94.83
2023-01-10,58.94,35.92,96.29
2023-01-11,57.07,35.71,97.66
2023-01-12,58.17,35.55,98.74
2023-01-13,58.5,36.05,95.71
2023-01-16,59.25,35.07,88.73
2023-01-17,58.47,34.48,90.96
2023-01-18,59.33,33.72,93.16
2023-01-19,58.04,33.67,92.44
2023-01-20,58.19,34.16,94.14
2023-01-23,58.65,34.56,95.45
2023-01-24,57.86,34.11,94.24
2023-01-25,58.5,33.95,100.45
2023-01-26,57.46,33.28,102.66
2023-01-27,59.27,33.57,105.11
2023-01-30,61.14,33.51,100.98
2023-01-31,60.44,34.09,96.95
2023-02-01,60.5,34.24,96.14
2023-02-02,61.47,34.59,102.43
2023-02-03,62.32,34.21,100.87
2023-02-06,61.19,34.79,99.32
2023-02-07,61.11,35.26,97.36
2023-02-08,60.73,34.09,94.46
2023-02-09,59.98,34.34,97.66
2023-02-10,59.97,34.5,98.17
2023-02-13,61.41,35.05,98.97
2023-02-14,60.06,35.61,100.08
2023-02-15,61.69,35.59,105.6
2023-02-16,61.22,36.61,105.99
2023-02-17,60.53,35.86,105.6
2023-02-20,62.44,36.38,107.69
2023-02-21,59.19,36.85,109.42
2023-02-22,58.49,36.43,109.47
2023-02-23,60.72,35.73,108.21
2023-02-24,62.55,35.44,107.16
2023-02-27,62.7,34.65,107.87
2023-02-28,61.04,35.19,107.94
2023-03-01,64.12,35.37,112.12
2023-03-02,62.29,35.29,113.19
2023-03-03,64.7,34.22,116.39
2023-03-06,65.55,35.16,118.77
2023-03-07,65.64,34.82,114.67
2023-03-08,65.94,34.7,121.22
2023-03-09,65.06,34.9,115.95
2023-03-10,64.51,35.06,118.69
2023-03-13,66.58,35.03,115.03
2023-03-14,67.26,35.35,116.67
2023-03-15,66.24,36.07,117.02
2023-03-16,67.27,36.89,119.07
2023-03-17,67.71,38.31,119.95
2023-03-20,67.28,38.39,124.99
2023-03-21,67.47,38.74,129.23
2023-03-22,66.72,37.53,130.38
2023-03-23,67.07,37.12,133.63
2023-03-24,67.98,36.45,135.63
2023-03-27,67.7,35.48,137.42
2023-03-28,67.65,35.0,139.5
2023-03-29,68.39,34.63,141.14
2023-03-30,69.93,34.18,142.71
2023-03-31,69.95,35.57,135.34
2023-04-03,71.03,35.37,135.03
2023-04-04,74.02,35.36,143.57
2023-04-05,73.31,35.58,141.67
2023-04-06,72.22,35.62,140.62
2023-04-07,72.55,34.27,148.57
2023-04-10,72.3,35.34,144.46
2023-04-11,72.78,37.35,141.01
2023-04-12,70.4,36.98,142.95
2023-04-13,71.49,37.83,141.99
2023-04-14,68.98,37.53,146.99
2023-04-17,69.7,36.21,146.92
2023-04-18,71.86,37.59,149.3
2023-04-19,72.36,36.74,145.85
2023-04-20,72.45,37.07,148.3
2023-04-21,71.71,36.3,145.14
2023-04-24,69.89,36.72,135.82
2023-04-25,69.4,37.01,141.67
2023-04-26,69.52,37.67,140.16
2023-04-27,68.39,37.21,146.22
2023-04-28,69.9,37.54,159.93
2023-05-01,69.87,37.95,161.39
2023-05-02,69.54,39.53,168.28
2023-05-03,67.41,39.24,170.38
2023-05-04,68.59,38.29,159.71
